Season,Tm,Player,Label
2023-24,1st,Nikola Jokić,1
2022-23,1st,Joel Embiid,1
2021-22,1st,Nikola Jokić,1
2020-21,1st,Nikola Jokić,1
2019-20,1st,Anthony Davis,1
2018-19,1st,Nikola Jokić,1
2017-18,1st,Anthony Davis,1
2016-17,1st,Anthony Davis,1
2015-16,1st,DeAndre Jordan,1
2014-15,1st,Marc Gasol,1
2013-14,1st,Joakim Noah,1
2012-13,1st,Tim Duncan,1
2011-12,1st,Dwight Howard,1
2010-11,1st,Dwight Howard,1
2009-10,1st,Dwight Howard,1
2008-09,1st,Dwight Howard,1
2007-08,1st,Dwight Howard,1
2006-07,1st,Amar'e Stoudemire,1
2005-06,1st,Shaquille O'Neal,1
2004-05,1st,Shaquille O'Neal,1
2003-04,1st,Shaquille O'Neal,1
2002-03,1st,Shaquille O'Neal,1
2001-02,1st,Shaquille O'Neal,1
2000-01,1st,Shaquille O'Neal,1
2023-24,1st,Giannis Antetokounmpo,1  
2022-23,1st,Giannis Antetokounmpo,1
2021-22,1st,Giannis Antetokounmpo,1
2020-21,1st,Giannis Antetokounmpo,1
2019-20,1st,Giannis Antetokounmpo,1
2018-19,1st,Giannis Antetokounmpo,1
2017-18,1st,LeBron James,1
2016-17,1st,LeBron James,1
2015-16,1st,LeBron James,1
2014-15,1st,LeBron James,1
2013-14,1st,Kevin Durant,1
2012-13,1st,Kevin Durant,1
2011-12,1st,Kevin Durant,1
2010-11,1st,Kevin Durant,1
2009-10,1st,Kevin Durant,1
2008-09,1st,LeBron James,1
2007-08,1st,Kevin Garnett,1
2006-07,1st,Tim Duncan,1
2005-06,1st,LeBron James,1
2004-05,1st,Tim Duncan,1
2003-04,1st,Tim Duncan,1
2002-03,1st,Tim Duncan,1
2001-02,1st,Tim Duncan,1
2000-01,1st,Tim Duncan,1
2023-24,1st,Jayson Tatum,1
2022-23,1st,Jayson Tatum,1
2021-22,1st,Jayson Tatum,1
2020-21,1st,Kawhi Leonard,1
2019-20,1st,LeBron James,1
2018-19,1st,Paul George,1
2017-18,1st,Kevin Durant,1
2016-17,1st,Kawhi Leonard,1
2015-16,1st,Kawhi Leonard,1
2014-15,1st,Anthony Davis,1
2013-14,1st,LeBron James,1
2012-13,1st,LeBron James,1
2011-12,1st,LeBron James,1
2010-11,1st,LeBron James,1
2009-10,1st,LeBron James,1
2008-09,1st,Dirk Nowitzki,1
2007-08,1st,LeBron James,1
2006-07,1st,Dirk Nowitzki,1
2005-06,1st,Dirk Nowitzki,1
2004-05,1st,Dirk Nowitzki,1
2003-04,1st,Kevin Garnett,1
2002-03,1st,Kevin Garnett,1
2001-02,1st,Tracy McGrady,1
2000-01,1st,Chris Webber,1
