Season,Tm,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2023-24,1st,Nikola Jokić,Giannis Antetokounmpo,Jayson Tatum,Luka Dončić,Shai Gilgeous-Alexander
2023-24,2nd,Anthony Davis,Kevin Durant,Kawhi Leonard,Jalen Brunson,Anthony Edwards
2023-24,3rd,LeBron James,Domantas Sabonis,Devin Booker,Stephen Curry,Tyrese Haliburton
2022-23,1st,Joel Embiid,Giannis Antetokounmpo,Jayson Tatum,Luka Dončić,Shai Gilgeous-Alexander
2022-23,2nd,Nikola Jokić,Jimmy Butler,Jaylen Brown,Donovan Mitchell,Stephen Curry
2022-23,3rd,Domantas Sabonis,LeBron James,Julius Randle,De'Aaron Fox,Damian Lillard
2021-22,1st,Nikola Jokić,Giannis Antetokounmpo,Jayson Tatum,Luka Dončić,Devin Booker
2021-22,2nd,Joel Embiid,Kevin Durant,DeMar DeRozan,Ja Morant,Stephen Curry
2021-22,3rd,Karl-Anthony Towns,LeBron James,Pascal Siakam,Chris Paul,Trae Young
2020-21,1st,Nikola Jokić,Giannis Antetokounmpo,Kawhi Leonard,Stephen Curry,Luka Dončić
2020-21,2nd,Joel Embiid,Julius Randle,LeBron James,Chris Paul,Damian Lillard
2020-21,3rd,Rudy Gobert,Jimmy Butler,Paul George,Bradley Beal,Kyrie Irving
2019-20,1st,Anthony Davis,Giannis Antetokounmpo,LeBron James,James Harden,Luka Dončić
2019-20,2nd,Nikola Jokić,Kawhi Leonard,Pascal Siakam,Damian Lillard,Chris Paul
2019-20,3rd,Rudy Gobert,Jayson Tatum,Jimmy Butler,Ben Simmons,Russell Westbrook
2018-19,1st,Nikola Jokić,Giannis Antetokounmpo,Paul George,James Harden,Stephen Curry
2018-19,2nd,Joel Embiid,Kevin Durant,Kawhi Leonard,Damian Lillard,Kyrie Irving
2018-19,3rd,Rudy Gobert,LeBron James,Blake Griffin,Kemba Walker,Russell Westbrook
2017-18,1st,Anthony Davis,LeBron James,Kevin Durant,Damian Lillard,James Harden
2017-18,2nd,Joel Embiid,Giannis Antetokounmpo,LaMarcus Aldridge,Russell Westbrook,DeMar DeRozan
2017-18,3rd,Karl-Anthony Towns,Jimmy Butler,Paul George,Stephen Curry,Victor Oladipo
2016-17,1st,Anthony Davis,LeBron James,Kawhi Leonard,James Harden,Russell Westbrook
2016-17,2nd,Rudy Gobert,Giannis Antetokounmpo,Kevin Durant,Stephen Curry,Isaiah Thomas
2016-17,3rd,DeAndre Jordan,Draymond Green,Jimmy Butler,John Wall,DeMar DeRozan
2015-16,1st,DeAndre Jordan,LeBron James,Kawhi Leonard,Stephen Curry,Russell Westbrook
2015-16,2nd,DeMarcus Cousins,Kevin Durant,Draymond Green,Chris Paul,Damian Lillard
2015-16,3rd,Andre Drummond,Paul George,LaMarcus Aldridge,Klay Thompson,Kyle Lowry
2014-15,1st,Marc Gasol,LeBron James,Anthony Davis,Stephen Curry,James Harden
2014-15,2nd,DeMarcus Cousins,Pau Gasol,LaMarcus Aldridge,Russell Westbrook,Chris Paul
2014-15,3rd,DeAndre Jordan,Blake Griffin,Tim Duncan,Klay Thompson,Kyrie Irving
2013-14,1st,Joakim Noah,Kevin Durant,LeBron James,James Harden,Chris Paul
2013-14,2nd,Dwight Howard,Blake Griffin,Kevin Love,Stephen Curry,Tony Parker
2013-14,3rd,Al Jefferson,Paul George,LaMarcus Aldridge,Goran Dragić,Damian Lillard
2012-13,1st,Tim Duncan,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2012-13,2nd,Marc Gasol,Carmelo Anthony,Blake Griffin,Tony Parker,Russell Westbrook
2012-13,3rd,Dwight Howard,Paul George,David Lee,James Harden,Dwyane Wade
2011-12,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2011-12,2nd,Andrew Bynum,Blake Griffin,Kevin Love,Tony Parker,Russell Westbrook
2011-12,3rd,Tyson Chandler,Carmelo Anthony,Dirk Nowitzki,Rajon Rondo,Dwyane Wade
2010-11,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Derrick Rose
2010-11,2nd,Amar'e Stoudemire,Pau Gasol,Dirk Nowitzki,Dwyane Wade,Russell Westbrook
2010-11,3rd,Al Horford,LaMarcus Aldridge,Zach Randolph,Manu Ginóbili,Chris Paul
2009-10,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Dwyane Wade
2009-10,2nd,Amar'e Stoudemire,Carmelo Anthony,Dirk Nowitzki,Steve Nash,Deron Williams
